"idBank";"Dernière mise à jour";"Catalogue d'indicateurs démographiques";"Sexe";"Puissance";"Indicateur";"Unité";"Périodicité";"Zone géographique";"Nature";"Série arrêtée";"Âge";"Correction"
"000436387";"29/07/2021 12:00";"Population au début de la période";"Sans objet";"3";"Population au début du mois";"individus";"Mensuelle";"France métropolitaine";"Valeur absolue";"non";"Sans objet";"Non corrigé"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
